date:19/5/2021
 
 
 
GeantCasino:  121 bis Rue du Rem Saint-Etienne 31000 Toulouse
 
 
confiture de fraise    bonne maman   X1-------------------------------------------------------------1.63€
farfalle    panzani   X2----------------------------------------------------------------------------1.86€
surligneur jaune original    stabilo   X2-----------------------------------------------------------3.26€
huile isio 4    isio   X2---------------------------------------------------------------------------6.84€
courgettes    légume   X2---------------------------------------------------------------------------4.98€
banane    fruit   X1--------------------------------------------------------------------------------1.65€
brocoli    légume   X1------------------------------------------------------------------------------3.79€
aiguillettes de poulet    le gaulois   X1-----------------------------------------------------------2.87€
poivrons    légume   X2-----------------------------------------------------------------------------3.98€
camembert    président   X2-------------------------------------------------------------------------2.66€
poireaux    légume   X2-----------------------------------------------------------------------------2.78€
rasoirs jetables    bic   X1------------------------------------------------------------------------1.25€
granola    LU   X1----------------------------------------------------------------------------------1.16€
correcteur liquide    tipp-ex   X2------------------------------------------------------------------3.78€
surligneur jaune original    stabilo   X1-----------------------------------------------------------1.63€
porte-mines 0?7    bic   X2-------------------------------------------------------------------------3.98€
lentilles vertes    lustucru   X2-------------------------------------------------------------------3.08€
spaghetti    panzani   X1---------------------------------------------------------------------------0.82€
gâteaux marbrés    savane   X1----------------------------------------------------------------------1.54€
granola    LU   X1----------------------------------------------------------------------------------1.16€
lentilles vertes    lustucru   X1-------------------------------------------------------------------1.54€
riz parfumé    taureau ailé   X2--------------------------------------------------------------------5.48€
aiguillettes de poulet    le gaulois   X2-----------------------------------------------------------5.74€
camembert    président   X1-------------------------------------------------------------------------1.33€
salade batavia    légume   X2-----------------------------------------------------------------------3.0€
rasoirs jetables    bic   X1------------------------------------------------------------------------1.25€
poivrons    légume   X2-----------------------------------------------------------------------------3.98€
sauce burger    amora   X1--------------------------------------------------------------------------1.84€
chou     légume   X1--------------------------------------------------------------------------------1.99€
correcteur liquide    tipp-ex   X2------------------------------------------------------------------3.78€
gâteaux marbrés    savane   X1----------------------------------------------------------------------1.54€
riz parfumé    taureau ailé   X1--------------------------------------------------------------------2.74€
artichaut    légume   X1----------------------------------------------------------------------------1.5€
camembert    président   X2-------------------------------------------------------------------------2.66€
fromage à tartiner    philadelphia   X1-------------------------------------------------------------1.45€
kiwi    fruit   X1----------------------------------------------------------------------------------0.99€
tomates    fruit   X2-------------------------------------------------------------------------------3.78€
poivrons    légume   X1-----------------------------------------------------------------------------1.99€
correcteur liquide    tipp-ex   X1------------------------------------------------------------------1.89€
correcteur liquide    tipp-ex   X2------------------------------------------------------------------3.78€
courgettes    légume   X1---------------------------------------------------------------------------2.49€
 
TOTAL : --------109.44euros
NUTRI SCORE MOYEN :C
ECO SCORE MOYEN :D
